Area,Crime_Type,Number_of_Crimes,Latitude,Longitude
BTM Layout,Cyber Crime,9,12.92057468739663,77.60813274445687
Koramangala,Murder,1,12.931143628956715,77.62198422294476
Bellandur,Molestation,1,12.926319176923663,77.68869326340212
HSR Layout,Burglary,2,12.912963135086663,77.64116410617535
Bellandur,Eve-Teasing,6,12.92238333207546,77.68612709556322
Rajajinagar,Murder,1,12.991945333158009,77.55879974455972
KR Puram,Burglary,9,13.00987136242685,77.69312982898093
Koramangala,Pickpocket,7,12.930516113412905,77.62084229670195
Jayanagar,Chain Snatching,2,12.923783238505521,77.58892672949827
Indiranagar,Burglary,9,12.972441506754285,77.64221910171231
Basavanagudi,Pickpocket,8,12.941102053747748,77.5700978918121
Jayanagar,Molestation,9,12.924545447951182,77.59046476481554
Basavanagudi,Assault,9,12.9444337118243,77.57473174345832
Hebbal,Eve-Teasing,1,13.038711568782897,77.58712983417658
KR Puram,Molestation,3,13.014274541387174,77.69350332986969
Whitefield,Theft,3,12.972770324573709,77.75476926360207
Electronic City,Chain Snatching,1,12.848134575594504,77.66446743680059
Marathahalli,Assault,9,12.951439359342407,77.70491734748403
Yeshwanthpur,Assault,3,13.021100834397387,77.55255626907274
HSR Layout,Burglary,5,12.915269057581728,77.63671069251107
Ulsoor,Theft,10,12.983921374330277,77.62439192931974
Banashankari,Murder,8,12.913298665658182,77.57420156020167
Bellandur,Eve-Teasing,4,12.92436410147258,77.68178579875419
Vijayanagar,Burglary,9,12.973431026709669,77.55525958174982
Yeshwanthpur,Theft,1,13.016835821776429,77.5553029519283
HSR Layout,Molestation,4,12.91487738576179,77.64389054776274
Frazer Town,Cyber Crime,9,13.001410998337175,77.62009526803416
Malleshwaram,Cyber Crime,2,13.001183628407949,77.57444309223591
Basavanagudi,Theft,1,12.94493677754912,77.57025509968791
MG Road,Pickpocket,6,12.972398182548835,77.60966454100772
Indiranagar,Kidnapping,6,12.971191949765531,77.63883776591993
HSR Layout,Cyber Crime,9,12.916041987774483,77.64054802061223
Yeshwanthpur,Eve-Teasing,9,13.016219742694194,77.55388931879361
Hebbal,Molestation,4,13.031119302024768,77.59488271063739
Malleshwaram,Theft,2,13.003099192303017,77.56999516521243
Indiranagar,Assault,2,12.97361518656021,77.64336411538011
Koramangala,Molestation,8,12.93652231042326,77.62678751568477
Indiranagar,Burglary,9,12.968506467269147,77.64330506857908
KR Puram,Cyber Crime,3,13.006507673807349,77.69030449759062
Yeshwanthpur,Burglary,6,13.012648881186887,77.55700233215707
Marathahalli,Molestation,10,12.958863391268089,77.69957405901407
Banashankari,Theft,9,12.909243319403318,77.56949524961213
Vijayanagar,Molestation,7,12.973452902332896,77.55246244059201
Vijayanagar,Kidnapping,6,12.975779304149645,77.55825591624034
Marathahalli,Theft,9,12.957669773713869,77.69709493589569
Vijayanagar,Cyber Crime,5,12.971075763370424,77.55654734457242
Banashankari,Kidnapping,7,12.917206782631657,77.57729994267079
BTM Layout,Molestation,1,12.921061004125802,77.61115074744279
Indiranagar,Chain Snatching,3,12.973182350824594,77.63638984822501
Ulsoor,Burglary,8,12.97939489445564,77.63261594117473
Koramangala,Burglary,3,12.93470675717009,77.6204285761609
Indiranagar,Cyber Crime,6,12.974078152845154,77.64519324389978
Marathahalli,Eve-Teasing,9,12.95520937058714,77.70076333262719
MG Road,Molestation,7,12.973858461411105,77.60123077032965
Banashankari,Kidnapping,1,12.91209883234591,77.5758822644872
KR Puram,Murder,7,13.009444953758468,77.69190632211587
HSR Layout,Chain Snatching,2,12.914980810114711,77.64242291464521
HSR Layout,Molestation,3,12.916130843012764,77.64532882300169
MG Road,Theft,9,12.97936882874103,77.60211329427624
Rajajinagar,Pickpocket,7,12.986410731885076,77.55575860219733
Basavanagudi,Burglary,2,12.93958518347082,77.56981351933693
Rajajinagar,Cyber Crime,8,12.992035025949448,77.55262320147031
MG Road,Eve-Teasing,7,12.975784709911766,77.60755227663026
Frazer Town,Pickpocket,10,12.999746792020623,77.6237402417262
BTM Layout,Cyber Crime,3,12.916227013757295,77.60557597891128
Electronic City,Pickpocket,9,12.84484620052302,77.65665251022561
Vijayanagar,Theft,9,12.975256989722604,77.55231818484542
Bellandur,Cyber Crime,3,12.929242662392191,77.681689309797
Koramangala,Pickpocket,2,12.933209389639531,77.62302217741005
Hebbal,Chain Snatching,7,13.036625491799116,77.58785802403352
Marathahalli,Eve-Teasing,2,12.955350049874546,77.70251842968106
Hebbal,Murder,10,13.038785988229627,77.58688868765142
Hebbal,Eve-Teasing,5,13.032856530875492,77.5863714622153
Electronic City,Kidnapping,9,12.847070829070768,77.66436011942109
MG Road,Murder,6,12.977540881106552,77.60765837868023
Rajajinagar,Assault,7,12.994089704300785,77.55409766749891
Ulsoor,Molestation,4,12.97860218871327,77.62671069721128
Bellandur,Kidnapping,7,12.925629595970925,77.68537002502359
Yeshwanthpur,Molestation,7,13.01341960009169,77.55955702660788
Ulsoor,Theft,6,12.984869983882515,77.63185132080139
Hebbal,Eve-Teasing,2,13.040002199825661,77.5903569989682
Ulsoor,Kidnapping,8,12.982392408095704,77.63171851935886
KR Puram,Burglary,2,13.005466161842133,77.69920740625211
Electronic City,Theft,7,12.840344551306835,77.66218815872348
MG Road,Murder,5,12.97401566672126,77.6029375685023
Banashankari,Cyber Crime,6,12.912824226013031,77.57465574596507
Vijayanagar,Pickpocket,2,12.975158094105959,77.55989041299576
Yeshwanthpur,Murder,6,13.01483728406298,77.55678321565942
Ulsoor,Murder,8,12.984642581117802,77.63119090221535
Marathahalli,Chain Snatching,8,12.95273044473153,77.70381603455924
Marathahalli,Assault,1,12.95349752822924,77.70222425662887
Basavanagudi,Eve-Teasing,5,12.9370617316703,77.57166022918607
Hebbal,Assault,10,13.034299424532959,77.59342805327066
Whitefield,Kidnapping,10,12.97011408121095,77.75068960298044
HSR Layout,Chain Snatching,10,12.9072712344206,77.64220196616705
Hebbal,Chain Snatching,7,13.035860839215468,77.59007177163586
Koramangala,Eve-Teasing,10,12.937095544663364,77.62190937720969
Ulsoor,Chain Snatching,2,12.978198558418075,77.62925698394736
Koramangala,Eve-Teasing,2,12.936437188885716,77.62059632217814
Banashankari,Assault,2,12.908947241373165,77.57259967941621
Koramangala,Assault,10,12.93095427533636,77.6211329200235
Koramangala,Murder,5,12.937440306937482,77.62209145391986
Banashankari,Pickpocket,10,12.917813589887718,77.57175932112354
Whitefield,Cyber Crime,8,12.965140255504682,77.74542977825736
Ulsoor,Kidnapping,10,12.982606684653593,77.6248933037551
Indiranagar,Cyber Crime,3,12.971086332102344,77.64512229052497
BTM Layout,Eve-Teasing,4,12.920711857304013,77.61443607096975
Rajajinagar,Cyber Crime,1,12.989415785108873,77.55066317646653
Rajajinagar,Assault,4,12.988888538054741,77.55753520154884
Ulsoor,Assault,8,12.978789243565682,77.62315786853054
Hebbal,Molestation,1,13.035731875859614,77.59124729507113
HSR Layout,Chain Snatching,1,12.907398012986567,77.64451972966151
Indiranagar,Molestation,7,12.97356580572637,77.64027739372246
Frazer Town,Burglary,7,12.999798618999112,77.62106033880094
KR Puram,Assault,3,13.012436034044926,77.69559931500844
Electronic City,Assault,9,12.845900625098173,77.65916094209511
MG Road,Molestation,6,12.979887924035864,77.60885034799315
Vijayanagar,Murder,7,12.96772619484544,77.55685770624835
Malleshwaram,Burglary,4,13.005229716894984,77.57269420577161
Malleshwaram,Eve-Teasing,10,13.00635548550139,77.56906566956945
Rajajinagar,Pickpocket,10,12.992244749781603,77.55222922341213
Banashankari,Theft,2,12.909990222510901,77.57793113398914
BTM Layout,Eve-Teasing,6,12.917084239594658,77.60794127705867
BTM Layout,Murder,8,12.915653035992133,77.61283843163658
Bellandur,Chain Snatching,9,12.927766457959896,77.68909022671788
Malleshwaram,Cyber Crime,3,13.002909134072512,77.57097485710477
Hebbal,Eve-Teasing,4,13.030893512060072,77.5864131585367
Ulsoor,Chain Snatching,4,12.986714584271253,77.6243115996056
HSR Layout,Burglary,8,12.914685024925298,77.64388396143643
Indiranagar,Murder,10,12.973320412988041,77.6366449143955
Marathahalli,Chain Snatching,1,12.953192418602926,77.70410238550814
Ulsoor,Assault,2,12.983713882484466,77.62366194238865
Hebbal,Eve-Teasing,3,13.032121420696026,77.59585783846526
Whitefield,Cyber Crime,2,12.969007697091895,77.74533826798732
Rajajinagar,Assault,6,12.98800435185164,77.55261118012162
Electronic City,Molestation,10,12.842814772310232,77.66396372967931
BTM Layout,Kidnapping,8,12.921328635722764,77.6128701766554
Frazer Town,Cyber Crime,7,13.00174070506492,77.6272753499407
Yeshwanthpur,Chain Snatching,7,13.019071935208649,77.5525264377213
Vijayanagar,Theft,9,12.972954390300552,77.55599861510636
Vijayanagar,Kidnapping,10,12.97073171434057,77.5580484730506
BTM Layout,Theft,8,12.919295972315965,77.60622866015947
Yeshwanthpur,Burglary,5,13.014237608029697,77.55493002660738
Yeshwanthpur,Eve-Teasing,4,13.019618403364142,77.55570746796938
KR Puram,Kidnapping,3,13.010827167345658,77.69693357857587
Rajajinagar,Eve-Teasing,4,12.996027042460977,77.55543722254122
HSR Layout,Cyber Crime,9,12.906685816434365,77.63828107929096
Banashankari,Murder,10,12.915934611999855,77.57421724067113
Indiranagar,Assault,10,12.971616523398126,77.63987402976689
Basavanagudi,Cyber Crime,4,12.939272046793304,77.57491861402346
Basavanagudi,Murder,6,12.944155555711284,77.57184936879582
Bellandur,Cyber Crime,5,12.921811608136121,77.684750418238
KR Puram,Murder,2,13.010745994859588,77.69760401552438
Malleshwaram,Eve-Teasing,5,12.999752638943935,77.57250075002136
BTM Layout,Theft,7,12.918867688287186,77.61082090690198
Koramangala,Assault,7,12.931923939645301,77.62797287365646
Yeshwanthpur,Pickpocket,1,13.016498434353556,77.55751007803161
Electronic City,Burglary,9,12.847826810949602,77.6587122801932
Yeshwanthpur,Theft,6,13.021978665905896,77.55195106291823
Yeshwanthpur,Kidnapping,6,13.015350415946276,77.55968760445575
Electronic City,Pickpocket,8,12.845096106561952,77.65610532888844
BTM Layout,Cyber Crime,9,12.921032502521054,77.61489750229478
Malleshwaram,Chain Snatching,3,13.002797608370123,77.57439600341213
BTM Layout,Pickpocket,8,12.921412176349062,77.61011629050664
Yeshwanthpur,Assault,5,13.017495354438251,77.55318873674388
Rajajinagar,Cyber Crime,4,12.989909722579444,77.55595892974355
MG Road,Murder,3,12.974559757030992,77.60799883472261
Jayanagar,Molestation,7,12.927073663842421,77.58916817668731
Whitefield,Pickpocket,9,12.965378846859368,77.7520269886844
Hebbal,Pickpocket,7,13.03693405959518,77.5945916817841
Bellandur,Eve-Teasing,3,12.923630965648199,77.68155119712925
Hebbal,Murder,4,13.031820416188502,77.59456377024786
Vijayanagar,Murder,3,12.97346213796957,77.55251507109813
Koramangala,Pickpocket,1,12.930532855980525,77.62837383756516
Ulsoor,Burglary,9,12.98664022812244,77.62324170907593
Bellandur,Burglary,2,12.92148665044356,77.68601029473741
KR Puram,Pickpocket,6,13.006953718427393,77.69397540963848
Marathahalli,Assault,6,12.95788811150285,77.70673828525464
Koramangala,Cyber Crime,7,12.931679930504243,77.62359082147921
Banashankari,Theft,3,12.91820220401917,77.57599726960308
Rajajinagar,Burglary,10,12.986899572599432,77.55277572439181
MG Road,Murder,3,12.974202329590254,77.60737936486143
Electronic City,Eve-Teasing,4,12.845910459382395,77.65870179059193
Ulsoor,Chain Snatching,9,12.983560944987873,77.63063045467162
Vijayanagar,Kidnapping,4,12.97305704656192,77.55500318746937
Basavanagudi,Pickpocket,3,12.939365272821655,77.5732179989731
Yeshwanthpur,Molestation,5,13.017539948656689,77.55581838927714
Bellandur,Burglary,10,12.923533060544814,77.68011757700712
HSR Layout,Murder,10,12.91461909086132,77.64118715390352
KR Puram,Theft,4,13.013134405370371,77.69710507921556
Koramangala,Murder,5,12.932579139161259,77.62851215987608
Rajajinagar,Kidnapping,10,12.99033605429629,77.55408591518803
Yeshwanthpur,Molestation,2,13.02197916269973,77.55113348283906
MG Road,Murder,2,12.974998366973425,77.60213113614601
Marathahalli,Chain Snatching,8,12.954186986148962,77.70434433190377
Hebbal,Chain Snatching,1,13.040676908846843,77.58967795344712
Yeshwanthpur,Kidnapping,1,13.018560029782392,77.55119495945
Frazer Town,Pickpocket,1,13.002912432130767,77.62578495191009
KR Puram,Theft,6,13.01305804434087,77.69204270424432
Koramangala,Chain Snatching,3,12.931753387687374,77.62720561785744
Indiranagar,Eve-Teasing,9,12.96907120848321,77.64098354994196
Basavanagudi,Assault,7,12.938507522904949,77.57662002832086
Yeshwanthpur,Molestation,8,13.019579458462868,77.55719193259243
Frazer Town,Cyber Crime,3,12.999948300729123,77.6297492298744
Electronic City,Pickpocket,1,12.845671398996,77.66225401327975
KR Puram,Theft,8,13.014757460461205,77.69511606286966
Yeshwanthpur,Murder,4,13.01445506727101,77.55615412935771
Banashankari,Pickpocket,10,12.91438200495049,77.56975479839949
Rajajinagar,Pickpocket,10,12.9943725406167,77.55810272401042
Whitefield,Theft,7,12.972947710816234,77.7488354342282
Bellandur,Eve-Teasing,3,12.926246086539809,77.6852459700561
Ulsoor,Kidnapping,1,12.981215580884987,77.62328656301098
Jayanagar,Theft,8,12.92275387747152,77.59722524392006
Vijayanagar,Pickpocket,9,12.974591135958281,77.56172410921324
Yeshwanthpur,Eve-Teasing,1,13.012772451206821,77.55817062229741
Koramangala,Burglary,2,12.93600060217582,77.623390808392
HSR Layout,Burglary,9,12.910715307240146,77.63795538930076
Hebbal,Pickpocket,1,13.032859900859629,77.59334096451234
Malleshwaram,Burglary,2,13.008148830456244,77.57103677482174
Indiranagar,Assault,6,12.966713382584045,77.63676409897252
Banashankari,Pickpocket,1,12.911833383946957,77.57566269235676
Koramangala,Cyber Crime,8,12.93806377823358,77.6216246104062
Koramangala,Cyber Crime,4,12.938710633021687,77.62137082655681
HSR Layout,Kidnapping,2,12.912479880532153,77.6377165373964
Vijayanagar,Murder,5,12.96825243704139,77.55741429920212
Banashankari,Chain Snatching,9,12.915490055368332,77.57360819097772
Vijayanagar,Kidnapping,8,12.975823804942266,77.56110239856487
Whitefield,Cyber Crime,5,12.971895634946874,77.74701929022244
Ulsoor,Chain Snatching,1,12.98442939590615,77.62966952150505
Hebbal,Chain Snatching,1,13.036347495066954,77.59183430630331
Yeshwanthpur,Chain Snatching,5,13.019604766676139,77.55811400940465
Vijayanagar,Burglary,3,12.975468781647312,77.55491704585401
Ulsoor,Eve-Teasing,2,12.980591048320024,77.62400967622982
Frazer Town,Chain Snatching,1,12.997714758244467,77.6206013179003
Ulsoor,Cyber Crime,6,12.980982735048105,77.62985064724346
Jayanagar,Pickpocket,3,12.926697782148777,77.59005661073549
Basavanagudi,Chain Snatching,7,12.937336478978093,77.57741747249737
KR Puram,Theft,7,13.00587732402492,77.6941966997904
Ulsoor,Molestation,4,12.979320300256976,77.62939845654215
Hebbal,Pickpocket,4,13.037964072954992,77.59519630656378
KR Puram,Cyber Crime,6,13.006813604374507,77.69808627418097
Jayanagar,Murder,1,12.92999474322908,77.5958299433345
Frazer Town,Kidnapping,8,13.000521739158897,77.6292053567559
Koramangala,Burglary,1,12.937595803481058,77.62935446320974
MG Road,Theft,6,12.971967560486954,77.6050927453525
Frazer Town,Cyber Crime,10,13.000252072898178,77.62339314079266
Jayanagar,Pickpocket,2,12.923177980176677,77.59195137841178
Koramangala,Molestation,1,12.936815591269257,77.62703305691113
Koramangala,Pickpocket,1,12.939457648219227,77.62820511570565
Basavanagudi,Chain Snatching,6,12.943772027852386,77.57573499273722
Vijayanagar,Murder,9,12.967802221384602,77.55698021929774
Frazer Town,Pickpocket,2,12.996969348493105,77.62302422319355
Jayanagar,Theft,3,12.925837268536517,77.59143704247268
Marathahalli,Cyber Crime,1,12.95433988669577,77.69715098444732
Electronic City,Assault,6,12.844147182073009,77.65612842787296
MG Road,Kidnapping,9,12.970617903489362,77.60647221398935
KR Puram,Assault,3,13.01488910087374,77.69760722007102
Malleshwaram,Burglary,4,13.006183154484495,77.56602722019383
Vijayanagar,Pickpocket,5,12.967533177310623,77.55449366716435
MG Road,Burglary,2,12.971884807896334,77.60159668195897
Ulsoor,Molestation,3,12.986703090511766,77.62399154185961
Vijayanagar,Kidnapping,4,12.97050092017667,77.55882562609386
Whitefield,Assault,6,12.967579292805754,77.7538573218053
BTM Layout,Molestation,2,12.913698120641659,77.61263954007268
Ulsoor,Molestation,7,12.985157184883978,77.62428084776927
Bellandur,Chain Snatching,8,12.925063648565867,77.68915722713868
HSR Layout,Molestation,2,12.911167155335011,77.63990732616172
Electronic City,Burglary,10,12.844194123602993,77.66285723969833
Bellandur,Kidnapping,9,12.924078901374973,77.68263094885145
Rajajinagar,Pickpocket,9,12.995234912925817,77.55178434796765
HSR Layout,Kidnapping,3,12.91052262413414,77.64396664889189
Vijayanagar,Eve-Teasing,6,12.971559657670324,77.55732471472797
Ulsoor,Chain Snatching,1,12.978678410790767,77.63073753310148
Basavanagudi,Burglary,3,12.945627605742294,77.57017436256938
Basavanagudi,Murder,9,12.94579457637377,77.57200271169242
Vijayanagar,Pickpocket,4,12.973058588686898,77.55771725205187
Koramangala,Cyber Crime,4,12.935594367692902,77.6255488900462
Frazer Town,Chain Snatching,7,12.996210592323687,77.62504828505898
Hebbal,Cyber Crime,1,13.03348457761615,77.59518291931683
MG Road,Assault,4,12.97201456627264,77.60937826777138
Yeshwanthpur,Assault,9,13.016952406138259,77.55358390122996
Whitefield,Assault,2,12.966103462508588,77.74862215265355
Yeshwanthpur,Assault,8,13.016199296754694,77.55167810645898
KR Puram,Molestation,8,13.013942870362394,77.69849187871169
KR Puram,Pickpocket,8,13.008417788313546,77.69399350321439
Whitefield,Murder,7,12.96791312040186,77.74587671159765
MG Road,Cyber Crime,9,12.97089810851061,77.60472550822092
BTM Layout,Theft,6,12.921458973533753,77.608105372982
Basavanagudi,Assault,3,12.94099272296055,77.57627047471362
Hebbal,Eve-Teasing,6,13.033825987001197,77.59449969654229
KR Puram,Molestation,3,13.011018524340251,77.69432103270266
Rajajinagar,Molestation,6,12.991890259243545,77.55433521545933
Banashankari,Kidnapping,7,12.909758363011974,77.57737450969636
Indiranagar,Burglary,5,12.968706360038174,77.63741231647859
Marathahalli,Molestation,4,12.953612138088875,77.70639683950968
Banashankari,Eve-Teasing,5,12.910101279446437,77.57527481041909
HSR Layout,Assault,10,12.913372684356293,77.63974519967776
Ulsoor,Eve-Teasing,2,12.982827405357503,77.63243379711642
Bellandur,Cyber Crime,3,12.920765449757985,77.68805224309193
Jayanagar,Chain Snatching,3,12.921642986306969,77.59234595636676
Koramangala,Murder,9,12.933214436017382,77.62327274624501
Vijayanagar,Kidnapping,2,12.967427527508532,77.55624754955532
KR Puram,Murder,2,13.01314925028337,77.69674075825006
Marathahalli,Theft,9,12.952045485472203,77.70122443347363
Electronic City,Kidnapping,8,12.848254566530665,77.65576995771882
HSR Layout,Burglary,10,12.913078125244393,77.63961538534679
Banashankari,Eve-Teasing,7,12.909139959886808,77.56901587195536
Yeshwanthpur,Assault,2,13.017036001452938,77.55853772625662
Bellandur,Molestation,8,12.925287739488702,77.68373701696324
Marathahalli,Burglary,2,12.956577664191983,77.69936027314132
Vijayanagar,Theft,2,12.971555464839486,77.55749750376442
Frazer Town,Burglary,8,12.997565864918931,77.62370464150453
Basavanagudi,Burglary,6,12.943755036128698,77.57018561884468
Rajajinagar,Theft,2,12.987811350207098,77.55640413266534
Banashankari,Molestation,6,12.916916086115402,77.57249676500999
Whitefield,Assault,4,12.972428975310235,77.74953106906256
BTM Layout,Burglary,9,12.915304341746104,77.60553318096639
Bellandur,Pickpocket,9,12.922438841314978,77.6880668906453
Electronic City,Chain Snatching,10,12.84675298212814,77.66015670053072
Marathahalli,Pickpocket,6,12.95500727691434,77.70358580543059
MG Road,Pickpocket,3,12.9768128044174,77.60788220690071
Indiranagar,Assault,5,12.97252008255222,77.63681077273523
Vijayanagar,Burglary,7,12.976264343410469,77.55608607033665
Bellandur,Assault,2,12.92148731281722,77.68741350565017
Marathahalli,Murder,6,12.956125497842198,77.70571241467785
Whitefield,Kidnapping,4,12.965855055137787,77.74847909349938
Koramangala,Kidnapping,9,12.936094104188173,77.62328053603187
Yeshwanthpur,Murder,9,13.022220158136658,77.55135597707046
Jayanagar,Assault,7,12.926615387039128,77.59196213814735
Frazer Town,Assault,6,13.000781841115874,77.62759780788755
HSR Layout,Chain Snatching,3,12.912827312594453,77.63691958174361
Hebbal,Cyber Crime,4,13.0309185516338,77.59451978984957
Koramangala,Kidnapping,1,12.930634423194347,77.62693321808247
MG Road,Eve-Teasing,3,12.970609038631345,77.60910323450861
Banashankari,Eve-Teasing,5,12.917976916005433,77.5734549388591
KR Puram,Eve-Teasing,5,13.005745678874488,77.69303254599569
KR Puram,Cyber Crime,9,13.005968407402975,77.69934497518695
Koramangala,Murder,1,12.939352463990506,77.62176139816053
HSR Layout,Chain Snatching,9,12.906860222895018,77.63963992666775
Hebbal,Kidnapping,6,13.038336581345153,77.5892966302844
Koramangala,Assault,7,12.930515658848126,77.62699189018406
Indiranagar,Murder,6,12.97034238277028,77.64506959125123
Jayanagar,Theft,8,12.920221933257928,77.59306681337806
Rajajinagar,Assault,3,12.994697048566833,77.55609183779886
Yeshwanthpur,Burglary,7,13.020811292782213,77.55430211841812
Hebbal,Burglary,8,13.03342124936011,77.58821695366557
Banashankari,Kidnapping,7,12.912738504427455,77.57313534517117
Malleshwaram,Pickpocket,10,13.005052556458146,77.56960069290609
Banashankari,Pickpocket,9,12.91076737237755,77.57320727349791
Koramangala,Theft,8,12.936521611912841,77.62492220642167
Electronic City,Kidnapping,1,12.841876655297817,77.66048023458568
Indiranagar,Kidnapping,1,12.968009414903431,77.64227210384217
Hebbal,Murder,9,13.032881142745767,77.58661454156669
Banashankari,Molestation,2,12.910707815610229,77.577454385423
Yeshwanthpur,Chain Snatching,4,13.015067130839366,77.55112039086225
Ulsoor,Burglary,8,12.984333846652772,77.62754771978356
Jayanagar,Kidnapping,5,12.921671828990826,77.59793711008224
Hebbal,Cyber Crime,9,13.03835480288596,77.59577713075385
Jayanagar,Burglary,7,12.929531081188731,77.5912404248702
Yeshwanthpur,Murder,2,13.020376714203927,77.55913187564265
HSR Layout,Theft,6,12.90909893665667,77.64373459517013
Bellandur,Kidnapping,5,12.922216565945844,77.6813027835092
Yeshwanthpur,Pickpocket,2,13.01678438701851,77.55166889850115
Jayanagar,Murder,2,12.929219917995997,77.5904453093454
MG Road,Cyber Crime,7,12.979577085141369,77.6006619139339
Koramangala,Murder,3,12.93939545748693,77.62365336829589
KR Puram,Chain Snatching,10,13.005548629022456,77.69322451203395
Malleshwaram,Murder,3,13.00788257541792,77.56670150302966
Jayanagar,Chain Snatching,10,12.921018546838232,77.59084058215022
Bellandur,Assault,9,12.925725370944601,77.67998806439871
Ulsoor,Molestation,4,12.982418240315162,77.62725929435027
Basavanagudi,Eve-Teasing,3,12.940919931387146,77.57444432847231
Indiranagar,Kidnapping,1,12.973246252443824,77.64201124715082
Frazer Town,Murder,4,13.001330180251912,77.62430386304713
KR Puram,Eve-Teasing,1,13.014597838320132,77.692316969855
Indiranagar,Theft,2,12.969147000059415,77.64426324599829
HSR Layout,Murder,2,12.916235687248804,77.64369030428158
Bellandur,Kidnapping,3,12.926951724184311,77.68246002488978
Yeshwanthpur,Theft,6,13.021729896999828,77.55946673411
Marathahalli,Burglary,2,12.957334054514861,77.70640210481938
HSR Layout,Cyber Crime,3,12.912917132203278,77.64571325669826
Banashankari,Theft,7,12.914113376765918,77.57030673870668
KR Puram,Assault,9,13.010886876086529,77.69546419885737
Bellandur,Chain Snatching,8,12.92473682220745,77.6852996640889
Koramangala,Assault,9,12.93256527356716,77.62748866677323
BTM Layout,Molestation,1,12.912004200656781,77.61012324698706
Yeshwanthpur,Kidnapping,7,13.013937543682294,77.55754323351714
HSR Layout,Eve-Teasing,9,12.910070966896061,77.63883184797946
HSR Layout,Eve-Teasing,10,12.907201435232283,77.64504780586257
Malleshwaram,Kidnapping,3,13.005108158253169,77.56652178100583
Marathahalli,Pickpocket,2,12.959714870858281,77.70003115541655
Indiranagar,Eve-Teasing,1,12.969005016805205,77.64515042100541
Jayanagar,Molestation,10,12.920476086806595,77.58893350632201
Indiranagar,Assault,10,12.968217148600717,77.64258614921805
KR Puram,Cyber Crime,6,13.006610052637045,77.69555795970996
Ulsoor,Pickpocket,2,12.978069036126795,77.63016540186159
HSR Layout,Kidnapping,3,12.912941137025816,77.63954369005631
Hebbal,Pickpocket,5,13.032970368023419,77.58801617997588
KR Puram,Cyber Crime,6,13.015175840166329,77.69080087839129
Basavanagudi,Chain Snatching,8,12.94412328089516,77.57248682186
Malleshwaram,Kidnapping,4,13.00251176071703,77.57004477684345
Electronic City,Assault,6,12.847441943628244,77.65720515938483
Indiranagar,Molestation,3,12.975941122114774,77.64023564020766
Indiranagar,Chain Snatching,1,12.96960440186192,77.64013452369127
Rajajinagar,Eve-Teasing,6,12.987611795261323,77.55518553116178
Whitefield,Kidnapping,8,12.965533788450285,77.7485114699246
Ulsoor,Assault,3,12.985336848295864,77.6307116235044
BTM Layout,Eve-Teasing,9,12.914321330186455,77.610523413229
Koramangala,Pickpocket,6,12.93993600408122,77.62596734715359
Electronic City,Burglary,10,12.846591708069557,77.65833313773363
Frazer Town,Assault,2,12.996597058465543,77.62070376189796
Malleshwaram,Burglary,2,13.000338946880449,77.56595668816087
Frazer Town,Pickpocket,9,13.003044953647327,77.6273039364662
Indiranagar,Assault,1,12.974981954738427,77.64181465208378
Yeshwanthpur,Pickpocket,3,13.013335191919277,77.55513247365808
Basavanagudi,Theft,8,12.938948319165425,77.5721187920482
Bellandur,Molestation,1,12.92422485559603,77.68150397824901
Yeshwanthpur,Cyber Crime,6,13.01971761364753,77.55595735289619
Bellandur,Molestation,9,12.92083329363804,77.68280357626196
Whitefield,Molestation,3,12.974563567399445,77.75072392388186
Yeshwanthpur,Kidnapping,7,13.017806027247264,77.5526923635135
Yeshwanthpur,Theft,10,13.01942625567027,77.55949211030904
Hebbal,Cyber Crime,1,13.03313760279779,77.58975957290178
KR Puram,Cyber Crime,1,13.013035865226316,77.69582827737987
Indiranagar,Kidnapping,8,12.976001721088695,77.637205269097
Ulsoor,Murder,10,12.97943188038393,77.62616098059874
Frazer Town,Molestation,8,12.998766781111051,77.62373259286771
Ulsoor,Molestation,5,12.987035930919888,77.62642879915265
Jayanagar,Murder,1,12.92922486412808,77.58946951755053
Whitefield,Chain Snatching,9,12.970185024163655,77.74940553495554
Koramangala,Kidnapping,7,12.93818193724096,77.62676055145748
Rajajinagar,Eve-Teasing,6,12.988868762706073,77.55821705889205
Frazer Town,Pickpocket,9,12.997737788966097,77.62850400826808
Vijayanagar,Cyber Crime,7,12.974960681615508,77.55469232388447
Koramangala,Pickpocket,4,12.933967169263584,77.62058529776029
Vijayanagar,Theft,7,12.972777166836263,77.55249417552234
Marathahalli,Chain Snatching,3,12.959647678062469,77.70580463461344
HSR Layout,Theft,3,12.910171253982934,77.63637125905827
MG Road,Pickpocket,6,12.975151131341464,77.60514585580775
Yeshwanthpur,Assault,5,13.014802739112335,77.55182666438536
Whitefield,Kidnapping,2,12.967718082171782,77.74712395468488
Ulsoor,Molestation,8,12.984431866505277,77.62449390052545
MG Road,Cyber Crime,10,12.974968645203242,77.60469961491759
Marathahalli,Theft,9,12.953119570872213,77.6985143389434
Hebbal,Murder,6,13.03681401072382,77.5919205084279
Banashankari,Theft,4,12.914451751555143,77.57237327531112
KR Puram,Cyber Crime,1,13.007257739917844,77.6968874022109
MG Road,Burglary,3,12.974611078496952,77.60976683452681
Whitefield,Cyber Crime,3,12.970182892667475,77.74935450683458
Yeshwanthpur,Burglary,5,13.016274723581926,77.5605436746543
